Label,Token,PMI,TokenSegmentCount,LabelSegmentCount,TokenLabelCount,IDF
opposing,subpopulation,1.991403,7,1841,3,8.175490
opposing,her3,1.991403,7,1841,3,8.175490
opposing,tremelimumab,1.991403,7,1841,3,8.463172
opposing,critically,1.991403,7,1841,3,8.175490
opposing,del,1.991403,7,1841,3,8.463172
opposing,her2-positive,1.959910,14,1841,6,7.770025
opposing,hcc,1.951561,76,1841,33,6.144057
opposing,intrinsic,1.949006,21,1841,9,7.210409
opposing,promotes,1.926552,12,1841,5,7.689982
opposing,cml,1.926552,12,1841,5,7.689982
opposing,clone,1.898401,17,1841,7,7.482343
opposing,malignant,1.898401,17,1841,7,7.421718
opposing,largely,1.878855,10,1841,4,7.857036
opposing,overexpressed,1.878855,10,1841,4,7.952346
opposing,ctdna,1.878855,10,1841,4,7.857036
opposing,confers,1.862063,15,1841,6,7.482343
opposing,egfr-tki,1.847154,62,1841,25,6.342908
opposing,gist,1.840395,40,1841,16,6.887635
opposing,poor,1.837742,50,1841,20,6.323106
opposing,alk,1.822294,38,1841,15,6.644013
opposing,highlight,1.821582,33,1841,13,6.728571
opposing,secondary,1.820618,28,1841,11,6.887635
opposing,insight,1.817100,18,1841,7,7.310492
opposing,deplete,1.813341,13,1841,5,7.615874
opposing,fotemustine,1.813341,13,1841,5,7.952346
opposing,cddp,1.804990,8,1841,3,8.175490
opposing,lose,1.804990,8,1841,3,8.175490
opposing,viral,1.804990,8,1841,3,8.057707
opposing,evolution,1.804990,8,1841,3,8.057707
opposing,initially,1.804990,8,1841,3,8.175490
opposing,criterion,1.804990,8,1841,3,8.057707
opposing,underlying,1.804990,8,1841,3,8.057707
opposing,ly3009120,1.804990,8,1841,3,8.463172
neutral,associated,2.670530,10,2565,10,7.857036
neutral,unclear,2.670530,9,2565,9,7.952346
neutral,preliminary,2.670530,23,2565,23,7.076877
neutral,tumor-associated,2.670530,5,2565,5,8.463172
neutral,vhl-associated,2.670530,5,2565,5,8.463172
neutral,disease-associated,2.670530,6,2565,6,8.868637
neutral,background,2.655463,96,2565,95,5.680220
neutral,associate,2.639016,370,2565,362,4.428931
neutral,subtilisin-kexin,2.505471,9,2565,8,7.952346
neutral,review,2.493290,43,2565,38,6.517262
neutral,lectin,2.418991,6,2565,5,8.309021
neutral,association,2.369835,122,2565,99,5.591492
neutral,hr-positive,2.365676,5,2565,4,8.645493
neutral,low-density,2.365676,5,2565,4,8.463172
neutral,objective,2.361580,62,2565,50,6.111797
neutral,correlate,2.341817,93,2565,74,5.800584
neutral,hla-b,2.204867,7,2565,5,8.309021
neutral,evaluate,2.171804,294,2565,208,4.585050
neutral,summarize,2.170959,10,2565,7,7.857036
neutral,ocd,2.114137,6,2565,4,8.868637
neutral,neoplasm,2.114137,6,2565,4,8.309021
neutral,mannose-binding,2.114137,6,2565,4,8.309021
neutral,information,2.114137,6,2565,4,8.309021
neutral,receptor-tyrosine,2.114137,6,2565,4,8.309021
neutral,anti-hgf,2.114137,6,2565,4,8.463172
neutral,investigate,2.051384,272,2565,177,4.649129
neutral,focus,2.040176,28,2565,18,6.887635
neutral,underlying,2.018453,8,2565,5,8.057707
neutral,consequence,2.018453,8,2565,5,8.057707
neutral,belzutifan,2.001355,24,2565,15,7.689982
neutral,cytometry,1.978652,5,2565,3,8.463172
neutral,cover,1.978652,5,2565,3,8.463172
neutral,comparative,1.978652,5,2565,3,8.463172
neutral,rheumatoid,1.978652,5,2565,3,8.463172
neutral,clozapine-induced,1.978652,5,2565,3,8.645493
neutral,moderate-to-severe,1.978652,5,2565,3,8.463172
neutral,endothelin,1.978652,5,2565,3,8.463172
neutral,captopril,1.978652,5,2565,3,8.463172
neutral,arg194trp,1.978652,5,2565,3,8.463172
neutral,aki,1.978652,5,2565,3,8.868637
neutral,methylated,1.978652,5,2565,3,8.463172
neutral,cct,1.978652,5,2565,3,8.645493
neutral,hippel-lindau,1.978652,5,2565,3,8.463172
neutral,serine,1.956834,10,2565,6,7.857036
neutral,explore,1.901605,53,2565,31,6.284639
neutral,vs,1.900012,7,2565,4,8.309021
neutral,oc,1.900012,7,2565,4,8.309021
neutral,arthritis,1.900012,7,2565,4,8.175490
neutral,bromperidol,1.900012,7,2565,4,8.868637
neutral,history,1.900012,7,2565,4,8.463172
neutral,disorder,1.857616,16,2565,9,7.546881
neutral,pathogenesis,1.853394,9,2565,5,7.952346
neutral,alcohol,1.853394,9,2565,5,7.952346
neutral,subtype,1.853394,9,2565,5,7.952346
neutral,bmi,1.853394,9,2565,5,8.175490
neutral,cardiovascular,1.838258,18,2565,10,7.482343
neutral,maternal,1.822533,11,2565,6,7.857036
neutral,ihc,1.822533,11,2565,6,8.175490
neutral,terminal,1.822533,11,2565,6,7.952346
neutral,negatively,1.784187,15,2565,8,7.482343
neutral,al,1.761296,19,2565,10,7.546881
neutral,mtx,1.727114,6,2565,3,8.309021
neutral,angiotensin,1.727114,6,2565,3,8.309021
neutral,abnormality,1.727114,6,2565,3,8.309021
neutral,green,1.727114,6,2565,3,8.309021
neutral,neuromuscular,1.727114,6,2565,3,8.463172
neutral,axonal,1.727114,6,2565,3,8.463172
neutral,neuroendocrine,1.727114,6,2565,3,8.309021
neutral,inducible,1.727114,6,2565,3,8.309021
neutral,pimasertib,1.727114,6,2565,3,8.645493
neutral,leucovorin,1.727114,6,2565,3,8.309021
neutral,radiographic,1.727114,6,2565,3,8.463172
neutral,polymerase,1.727114,6,2565,3,8.309021
neutral,sex,1.727114,6,2565,3,8.309021
neutral,multidrug,1.727114,6,2565,3,8.309021
neutral,intake,1.727114,6,2565,3,8.463172
neutral,asthma,1.727114,6,2565,3,8.309021
neutral,special,1.727114,6,2565,3,8.309021
neutral,her2+,1.727114,6,2565,3,8.463172
neutral,ttp,1.727114,6,2565,3,8.309021
neutral,hgf/met,1.727114,6,2565,3,8.309021
neutral,discontinue,1.713599,8,2565,4,8.057707
neutral,repurposed,1.713599,8,2565,4,8.057707
neutral,stroke,1.713599,8,2565,4,8.057707
neutral,evolution,1.713599,8,2565,4,8.057707
neutral,magnitude,1.713599,8,2565,4,8.057707
neutral,ifn,1.713599,8,2565,4,8.175490
neutral,rs1695,1.713599,8,2565,4,8.868637
neutral,cisplatin-based,1.705296,10,2565,5,8.057707
neutral,solitomab,1.705296,10,2565,5,8.309021
neutral,severity,1.690159,18,2565,9,7.421718
neutral,convertase,1.682404,30,2565,15,6.820944
neutral,non-small-cell,1.681671,32,2565,16,6.887635
neutral,proprotein,1.630266,27,2565,13,6.922727
neutral,meta-analysis,1.597774,15,2565,7,7.546881
neutral,pregnancy,1.586466,13,2565,6,7.615874
neutral,diagnosis,1.586466,13,2565,6,7.952346
neutral,pik3ca-mutated,1.586466,13,2565,6,8.057707
neutral,relation,1.570994,11,2565,5,7.770025
neutral,zeste,1.570994,11,2565,5,7.857036
neutral,snp,1.562470,24,2565,11,7.036055
neutral,flow,1.548540,9,2565,4,7.952346
neutral,positively,1.548540,9,2565,4,7.952346
neutral,article,1.548540,9,2565,4,8.057707
neutral,chemokine,1.548540,9,2565,4,7.952346
neutral,pi3k/mtor,1.548540,9,2565,4,8.057707
neutral,tunlametinib,1.548540,9,2565,4,8.463172
neutral,neonatal,1.548540,9,2565,4,8.309021
neutral,tam,1.548540,9,2565,4,7.952346
neutral,x-ray,1.548540,9,2565,4,7.952346
neutral,pathological,1.548540,9,2565,4,7.952346
neutral,modafinil,1.548540,9,2565,4,8.175490
neutral,silibinin,1.548540,9,2565,4,8.309021
neutral,immunohistochemical,1.548540,9,2565,4,7.952346
neutral,anetumab,1.548540,9,2565,4,8.463172
neutral,ptu,1.548540,9,2565,4,7.952346
neutral,discuss,1.525100,18,2565,8,7.310492
neutral,inversely,1.512989,7,2565,3,8.175490
neutral,alzheimer,1.512989,7,2565,3,8.175490
neutral,hs-crp,1.512989,7,2565,3,8.309021
