UniProtAccession,UniProtID,EntryType,GeneSymbol,GeneSynonyms,ProteinName,Function,DiseaseAssociations,SubcellularLocation,TissueSpecificity,PathwayAnnotation,Keywords,Domains,BindingSites,ActiveSites,AlphaFoldID,PDB_IDs,DrugBankIDs,ChEMBL_IDs,KEGG_IDs,ReactomePathways,SequenceLength,MolecularWeight,Organism
O43707,ACTN4_HUMAN,reviewed,ACTN4,,Alpha-actinin-4,"F-actin cross-linking protein which is thought to anchor actin to a variety of intracellular structures. This is a bundling protein (Probable). Probably involved in vesicular trafficking via its association with the CART complex. The CART complex is necessary for efficient transferrin receptor recycling but not for EGFR degradation (PubMed:15772161). Involved in tight junction assembly in epithelial cells probably through interaction with MICALL2. Links MICALL2 to the actin cytoskeleton and recruits it to the tight junctions (By similarity). May also function as a transcriptional coactivator, stimulating transcription mediated by the nuclear hormone receptors PPARG and RARA (PubMed:22351778). Association with IGSF8 regulates the immune synapse formation and is required for efficient T-cell activation (PubMed:22689882)",Focal segmental glomerulosclerosis 1 (FSGS1),"Nucleus; Cytoplasm; Cell junction; Cytoplasm, cytoskeleton, stress fiber; Cytoplasm, perinuclear region",Widely expressed,,3D-structure|Acetylation|Actin-binding|Alternative splicing|Calcium|Cell junction|Cytoplasm|Cytoskeleton|Disease variant|Metal-binding|Nucleus|Phosphoprotein|Protein transport|Proteomics identification|Reference proteome|Repeat|Transport,Calponin-homology (CH) 1 [50-154]|Calponin-homology (CH) 2 [163-269]|EF-hand 1 [765-800]|EF-hand 2 [806-841], [778-778]| [780-780]| [789-789],,O43707,1WLX|1YDI|2R0O|6O31|6OA6,,,hsa:81,R-HSA-114608:Platelet degranulation|R-HSA-373753:Nephrin family interactions,911,104854,Homo sapiens
P61158,ARP3_HUMAN,reviewed,ACTR3,ARP3,Actin-related protein 3,"ATP-binding component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF) (PubMed:9000076). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility (PubMed:9000076). Seems to contact the pointed end of the daughter actin filament (PubMed:9000076). In podocytes, required for the formation of lamellipodia downstream of AVIL and PLCE1 regulation (PubMed:29058690). In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA (PubMed:17220302, PubMed:29925947). The Arp2/3 complex promotes homologous recombination (HR) repair in response to DNA damage by promoting nuclear actin polymerization, leading to drive motility of double-strand breaks (DSBs) (PubMed:29925947). Plays a role in ciliogenesis (PubMed:20393563)",,"Cytoplasm, cytoskeleton; Cell projection; Nucleus",,,3D-structure|Acetylation|Actin-binding|ATP-binding|Cell projection|Cilium biogenesis/degradation|Cytoplasm|Cytoskeleton|Direct protein sequencing|Nucleotide-binding|Nucleus|Proteomics identification|Reference proteome,,,,P61158,6UHC|6YW6|6YW7|8P94|9I2B,DB08236|DB08235,CHEMBL4105857,hsa:10096,R-HSA-2029482:Regulation of actin dynamics for phagocytic cup formation|R-HSA-3928662:EPHB-mediated forward signaling|R-HSA-5663213:RHO GTPases Activate WASPs and WAVEs|R-HSA-8856828:Clathrin-mediated endocytosis|R-HSA-9664422:FCGR3A-mediated phagocytosis,418,47371,Homo sapiens
Q03154,ACY1_HUMAN,reviewed,ACY1,,Aminoacylase-1,"Aminoacylase involved in the hydrolysis of N-acetylated and N-formylated amino acids. May act sequentially with APEH in the degradation of N-acylated peptides: APEH first cleaves N-acylaminoacids from N-acylated peptides, then ACY1 further hydrolyzes the N-acylaminoacid into free aminoacid and a carboxylate",Aminoacylase-1 deficiency (ACY1D),Cytoplasm,"Expression is highest in kidney, strong in brain and weaker in placenta and spleen",,3D-structure|Alternative splicing|Cytoplasm|Disease variant|Hydrolase|Metal-binding|Proteomics identification|Reference proteome|Zinc,, [80-80]| [113-113]| [113-113]| [148-148]| [175-175]| [373-373], [82-82]|Proton acceptor [147-147],Q03154,1Q7L,DB06151|DB00128|DB09130,,hsa:95,R-HSA-5423646:Aflatoxin activation and detoxification|R-HSA-5579007:Defective ACY1 causes encephalopathy|R-HSA-9753281:Paracetamol ADME,408,45885,Homo sapiens
O43184,ADA12_HUMAN,reviewed,ADAM12,MLTN,Disintegrin and metalloproteinase domain-containing protein 12,"Involved in skeletal muscle regeneration, specifically at the onset of cell fusion. Also involved in macrophage-derived giant cells (MGC) and osteoclast formation from mononuclear precursors (By similarity)",,Secreted,"Isoform 1 is expressed in placenta and skeletal, cardiac, and smooth muscle. Isoform 2 seems to be expressed only in placenta or in embryo and fetus. Both forms were expressed in some tumor cells lines. Not detected in brain, lung, liver, kidney or pancreas",,Alternative splicing|Cell adhesion|Cell membrane|Cleavage on pair of basic residues|Disulfide bond|EGF-like domain|Glycoprotein|Hydrolase|Membrane|Metal-binding|Metalloprotease|Phosphoprotein|Protease|Proteomics identification|Reference proteome|Secreted|SH3-binding|Signal|Transmembrane|Transmembrane helix|Zinc|Zymogen,Peptidase M12B [214-416]|Disintegrin [424-510]|EGF-like [656-688],in inhibited form [179-179]| [350-350]| [354-354]| [360-360], [351-351],O43184,,,CHEMBL5030,hsa:8038,R-HSA-177929:Signaling by EGFR|R-HSA-8941237:Invadopodia formation,909,99542,Homo sapiens
P11766,ADHX_HUMAN,reviewed,ADH5,ADHX|FDH,Alcohol dehydrogenase class-3,"Catalyzes the oxidation of long-chain primary alcohols and the oxidation of S-(hydroxymethyl) glutathione (PubMed:8460164). Also oxidizes long chain omega-hydroxy fatty acids, such as 20-HETE, producing both the intermediate aldehyde, 20-oxoarachidonate and the end product, a dicarboxylic acid, (5Z,8Z,11Z,14Z)-eicosatetraenedioate (PubMed:16081420). Class-III ADH is remarkably ineffective in oxidizing ethanol (PubMed:8460164). Required for clearance of cellular formaldehyde, a cytotoxic and carcinogenic metabolite that induces DNA damage (PubMed:33355142). Also acts as a S-nitroso-glutathione reductase by catalyzing the NADH-dependent reduction of S-nitrosoglutathione, thereby regulating protein S-nitrosylation (By similarity)","AMED syndrome, digenic (AMEDS)",Cytoplasm,,,3D-structure|Acetylation|Cytoplasm|Direct protein sequencing|Disease variant|Dwarfism|Intellectual disability|Lipid metabolism|Metal-binding|NAD|Oxidoreductase|Phosphoprotein|Proteomics identification|Reference proteome|Zinc,, [45-45]| [67-67]| [97-97]| [100-100]| [103-103]| [111-111]| [174-174],,P11766,1M6H|1M6W|1MA0|1MC5|1MP0|1TEH|2FZE|2FZW|3QJ5|8GV3,DB03704|DB00898|DB01020|DB03017|DB00157|DB12612|DB11077|DB04153,CHEMBL4116,hsa:128,R-HSA-71384:Ethanol oxidation,374,39724,Homo sapiens
Q15848,ADIPO_HUMAN,reviewed,ADIPOQ,ACDC|ACRP30|APM1|GBP28,Adiponectin,"Important adipokine involved in the control of fat metabolism and insulin sensitivity, with direct anti-diabetic, anti-atherogenic and anti-inflammatory activities. Stimulates AMPK phosphorylation and activation in the liver and the skeletal muscle, enhancing glucose utilization and fatty-acid combustion. Antagonizes TNF by negatively regulating its expression in various tissues such as liver and macrophages, and also by counteracting its effects. Inhibits endothelial NF-kappa-B signaling through a cAMP-dependent pathway. May play a role in cell growth, angiogenesis and tissue remodeling by binding and sequestering various growth factors with distinct binding affinities, depending on the type of complex, LMW, MMW or HMW",Adiponectin deficiency (ADPOD),Secreted,Synthesized exclusively by adipocytes and secreted into plasma,,3D-structure|Collagen|Diabetes mellitus|Direct protein sequencing|Disease variant|Disulfide bond|Glycoprotein|Hormone|Hydroxylation|Obesity|Pharmaceutical|Proteomics identification|Reference proteome|Repeat|Secreted|Signal,Collagen-like [42-107]|C1q [108-244],,,Q15848,4DOU|6U66|6U6N,,,hsa:9370,R-HSA-163680:AMPK inhibits chREBP transcriptional activation activity|R-HSA-381340:Transcriptional regulation of white adipocyte differentiation|R-HSA-9841922:MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,244,26414,Homo sapiens
P02771,FETA_HUMAN,reviewed,AFP,HPAFP,Alpha-fetoprotein,"Binds copper, nickel, and fatty acids as well as, and bilirubin less well than, serum albumin. Only a small percentage (less than 2%) of the human AFP shows estrogen-binding properties","Alpha-fetoprotein deficiency (AFPD)|Alpha-fetoprotein, hereditary persistence (HPAFP)",Secreted,Plasma. Synthesized by the fetal liver and yolk sac,,3D-structure|Copper|Direct protein sequencing|Disulfide bond|Glycoprotein|Metal-binding|Nickel|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Secreted|Signal|Sulfation,Albumin 1 [19-210]|Albumin 2 [211-402]|Albumin 3 [403-601], [22-22],,P02771,3MRK|7RE7|7RE8|7YIM|8X1N,,CHEMBL3712864,hsa:174,R-HSA-381426:Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)|R-HSA-8957275:Post-translational protein phosphorylation,609,68678,Homo sapiens
O95994,AGR2_HUMAN,reviewed,AGR2,AG2,Anterior gradient protein 2 homolog,"Required for MUC2 post-transcriptional synthesis and secretion. May play a role in the production of mucus by intestinal cells (By similarity). Proto-oncogene that may play a role in cell migration, cell differentiation and cell growth. Promotes cell adhesion (PubMed:23274113)","Respiratory infections, recurrent, and failure to thrive with or without diarrhea (RIFTD)",Secreted; Endoplasmic reticulum,"Expressed strongly in trachea, lung, stomach, colon, prostate and small intestine. Expressed weakly in pituitary gland, salivary gland, mammary gland, bladder, appendix, ovary, fetal lung, uterus, pancreas, kidney, fetal kidney, testis, placenta, thyroid gland and in estrogen receptor (ER)-positive breast cancer cell lines",,3D-structure|Direct protein sequencing|Disease variant|Disulfide bond|Endoplasmic reticulum|Proteomics identification|Proto-oncogene|Reference proteome|Secreted|Signal,,,,O95994,2LNS|2LNT,,,hsa:10551,,175,19979,Homo sapiens
O00468,AGRIN_HUMAN,reviewed,AGRN,AGRIN,Agrin,This released fragment is important for agrin signaling and to exert a maximal dendritic filopodia-inducing effect. All 'z' splice variants (z+) of this fragment also show an increase in the number of filopodia,"Myasthenic syndrome, congenital, 8 (CMS8)",Synapse; Cell membrane,Expressed in articular cartilage,,3D-structure|Alternative splicing|Calcium|Cell membrane|Congenital myasthenic syndrome|Developmental protein|Differentiation|Disease variant|Disulfide bond|EGF-like domain|Extracellular matrix|Glycoprotein|Heparan sulfate|Laminin EGF-like domain|Membrane|Metal-binding|Phosphoprotein|Proteoglycan|Proteomics identification|Reference proteome|Repeat|Secreted|Signal|Synapse|Transmembrane|Transmembrane helix,NtA [31-157]|Kazal-like 1 [191-244]|Kazal-like 2 [264-319]|Kazal-like 3 [337-391]|Kazal-like 4 [408-463]|Kazal-like 5 [484-536]|Kazal-like 6 [540-601]|Kazal-like 7 [607-666]|Kazal-like 8 [699-752]|Laminin EGF-like 1 [793-846]|Laminin EGF-like 2 [847-893]|Kazal-like 9 [917-971]|SEA [1130-1252]|EGF-like 1 [1329-1367]|Laminin G-like 1 [1372-1548]|EGF-like 2 [1549-1586]|EGF-like 3 [1588-1625]|Laminin G-like 2 [1635-1822]|EGF-like 4 [1818-1857]|Laminin G-like 3 [1868-2065], [1940-1940]| [1957-1957]| [2007-2007]| [2009-2009],,O00468,8S9P,,CHEMBL4295648,hsa:375790,"R-HSA-1971475:Glycosaminoglycan-protein linkage region biosynthesis|R-HSA-2022928:HS-GAG biosynthesis|R-HSA-2024096:HS-GAG degradation|R-HSA-216083:Integrin cell surface interactions|R-HSA-3000171:Non-integrin membrane-ECM interactions|R-HSA-3000178:ECM proteoglycans|R-HSA-3560783:Defective B4GALT7 causes EDS, progeroid type|R-HSA-3560801:Defective B3GAT3 causes JDSSDHD|R-HSA-3656237:Defective EXT2 causes exostoses 2|R-HSA-3656253:Defective EXT1 causes exostoses 1, TRPS2 and CHDS|R-HSA-419037:NCAM1 interactions|R-HSA-4420332:Defective B3GALT6 causes EDSP2 and SEMDJL1|R-HSA-9694614:Attachment and Entry|R-HSA-975634:Retinoid metabolism and transport|R-HSA-9820960:Respiratory syncytial virus (RSV) attachment and entry|R-HSA-9833110:RSV-host interactions|R-HSA-9913351:Formation of the dystrophin-glycoprotein complex (DGC)",2068,217320,Homo sapiens
P01019,ANGT_HUMAN,reviewed,AGT,SERPINA8,Angiotensinogen,Is a ligand for the G-protein coupled receptor MAS1 (By similarity). Has vasodilator and antidiuretic effects. Has an antithrombotic effect that involves MAS1-mediated release of nitric oxide from platelets (By similarity),Essential hypertension (EHT)|Renal tubular dysgenesis (RTD),Secreted,Expressed by the liver and secreted in plasma,,3D-structure|Direct protein sequencing|Disease variant|Disulfide bond|Glycoprotein|Proteomics identification|Reference proteome|Secreted|Signal|Vasoactive|Vasoconstrictor,,,,P01019,1N9U|1N9V|2JP8|2WXW|2X0B|3CK0|3WOO|3WOR|4AA1|4APH|4FYS|5E2Q|5M3X|5M3Y|5XJM|6I3F|6I3I|6JOD|6OS0|7C6A,DB09130|DB01593|DB14487,CHEMBL3596085,hsa:183,R-HSA-1989781:PPARA activates gene expression|R-HSA-2022377:Metabolism of Angiotensinogen to Angiotensins|R-HSA-375276:Peptide ligand-binding receptors|R-HSA-416476:G alpha (q) signalling events|R-HSA-418594:G alpha (i) signalling events,476,52070,Homo sapiens
Q9UPW5,CBPC1_HUMAN,reviewed,AGTPBP1,CCP1|KIAA1035|NNA1,Cytosolic carboxypeptidase 1,"Metallocarboxypeptidase that mediates protein deglutamylation of tubulin and non-tubulin target proteins (PubMed:22170066, PubMed:24022482, PubMed:30420557). Catalyzes the removal of polyglutamate side chains present on the gamma-carboxyl group of glutamate residues within the C-terminal tail of alpha- and beta-tubulin (PubMed:22170066, PubMed:24022482, PubMed:30420557). Specifically cleaves tubulin long-side-chains, while it is not able to remove the branching point glutamate (PubMed:24022482). Also catalyzes the removal of polyglutamate residues from the carboxy-terminus of alpha-tubulin as well as non-tubulin proteins such as MYLK (PubMed:22170066). Involved in KLF4 deglutamylation which promotes KLF4 proteasome-mediated degradation, thereby negatively regulating cell pluripotency maintenance and embryogenesis (PubMed:29593216)","Neurodegeneration, childhood-onset, with cerebellar atrophy (CONDCA)","Cytoplasm; Cytoplasm, cytosol; Nucleus; Mitochondrion",,,Alternative splicing|Carboxypeptidase|Cytoplasm|Disease variant|Hydrolase|Metal-binding|Metalloprotease|Mitochondrion|Neurodegeneration|Nucleus|Phosphoprotein|Protease|Proteomics identification|Reference proteome|Zinc,Peptidase M14 [848-1138], [920-920]| [923-923]| [1017-1017],Proton donor/acceptor [1102-1102],Q9UPW5,,,CHEMBL4523495,hsa:23287,R-HSA-8955332:Carboxyterminal post-translational modifications of tubulin,1226,138448,Homo sapiens
Q8IVF2,AHNK2_HUMAN,reviewed,AHNAK2,C14orf78|KIAA2019,Protein AHNAK2,,,Nucleus,,,3D-structure|Acetylation|Alternative splicing|Isopeptide bond|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|Ubl conjugation,PDZ [112-193],,,,4CN0,,,hsa:113146,,5795,616629,Homo sapiens
Q02952,AKA12_HUMAN,reviewed,AKAP12,AKAP250,A-kinase anchor protein 12,Anchoring protein that mediates the subcellular compartmentation of protein kinase A (PKA) and protein kinase C (PKC),,"Cytoplasm, cell cortex; Cytoplasm, cytoskeleton; Membrane","Expressed in endothelial cells, cultured fibroblasts and osteosarcoma, but not in platelets, leukocytes, monocytic cell lines or peripherical blood cells",,Alternative splicing|Calmodulin-binding|Cytoplasm|Cytoskeleton|Isopeptide bond|Lipoprotein|Membrane|Myristate|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Ubl conjugation,,,,Q02952,,,CHEMBL4295800,hsa:9590,R-HSA-9013405:RHOD GTPase cycle|R-HSA-9035034:RHOF GTPase cycle,1782,191482,Homo sapiens
